time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-23 00:00:00+00:00,2,2,0,0
2023-09-24 00:00:00+00:00,1,1,1,1
2023-09-27 00:00:00+00:00,2,1,0,0
2023-09-28 00:00:00+00:00,0,0,2,2
