time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,9,3,0,0
2026-04-15 00:00:00+00:00,11,6,0,0
2026-04-16 00:00:00+00:00,34,11,0,0
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,18,8,0,0
2026-04-19 00:00:00+00:00,37,14,0,0
2026-04-20 00:00:00+00:00,57,23,0,0
2026-04-21 00:00:00+00:00,52,24,0,0
2026-04-22 00:00:00+00:00,84,30,0,0
2026-04-23 00:00:00+00:00,63,21,0,0
2026-04-24 00:00:00+00:00,71,27,0,0
2026-04-25 00:00:00+00:00,54,22,0,0
2026-04-26 00:00:00+00:00,43,14,0,0
2026-04-27 00:00:00+00:00,30,11,0,0
