time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,19,8,0,0
2026-04-10 00:00:00+00:00,38,12,0,0
2026-04-11 00:00:00+00:00,19,8,0,0
2026-04-12 00:00:00+00:00,11,6,1,1
2026-04-13 00:00:00+00:00,6,4,1,1
2026-04-14 00:00:00+00:00,9,3,0,0
2026-04-15 00:00:00+00:00,11,6,0,0
2026-04-16 00:00:00+00:00,34,11,0,0
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,18,8,0,0
2026-04-19 00:00:00+00:00,37,14,0,0
2026-04-20 00:00:00+00:00,57,23,0,0
2026-04-21 00:00:00+00:00,52,24,0,0
2026-04-22 00:00:00+00:00,84,30,0,0
