time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,43,14,0,0
2026-04-27 00:00:00+00:00,30,11,0,0
2026-04-28 00:00:00+00:00,17,6,0,0
2026-04-29 00:00:00+00:00,17,7,0,0
2026-04-30 00:00:00+00:00,31,11,0,0
2026-05-01 00:00:00+00:00,55,12,0,0
2026-05-02 00:00:00+00:00,34,9,0,0
2026-05-03 00:00:00+00:00,21,8,0,0
2026-05-04 00:00:00+00:00,18,6,0,0
2026-05-05 00:00:00+00:00,52,13,0,0
2026-05-06 00:00:00+00:00,32,9,0,0
2026-05-07 00:00:00+00:00,18,7,0,0
2026-05-08 00:00:00+00:00,17,6,0,0
2026-05-09 00:00:00+00:00,11,6,0,0
